FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. David Nagel (D),"Nagel, David",David,Nagel,D,Belknap,6,Belknap-06,409138,139,139,12,88,39,0,184,42,28,23,F,-1,22,F
Rep. Matthew Hicks (D),"Hicks, Matthew",Matthew,Hicks,D,Merrimack,24,Merrimack-24,409108,139,139,6,84,49,0,184,40,35,21,F,0,21,F
Rep. Molly Howard (D),"Howard, Molly",Molly,Howard,D,Hillsborough,31,Hillsborough-31,409109,139,139,3,85,51,0,184,40,37,21,F,0,21,F
Rep. Stephanie Payeur (D),"Payeur, Stephanie",Stephanie,Payeur,D,Merrimack,8,Merrimack-08,409148,139,139,5,83,51,0,184,39,37,21,F,0,21,F
Rep. James Roesener (D),"Roesener, James",James,Roesener,D,Merrimack,22,Merrimack-22,409163,139,139,6,90,43,0,184,39,31,21,F,0,21,F
Rep. William Dolan (D),"Dolan, William",William,Dolan,D,Hillsborough,9,Hillsborough-09,409088,139,139,3,86,50,0,184,38,36,21,F,0,21,F
Rep. Dan Bergeron (D),"Bergeron, Dan",Dan,Bergeron,D,Hillsborough,16,Hillsborough-16,409209,139,139,4,92,43,0,184,38,31,21,F,0,21,F
Rep. Karen Hegner (D),"Hegner, Karen",Karen,Hegner,D,Hillsborough,41,Hillsborough-41,409245,139,139,5,86,48,0,184,39,35,21,F,-1,21,F
Rep. Peter Lovett (D),"Lovett, Peter",Peter,Lovett,D,Grafton,8,Grafton-08,409125,139,139,2,82,55,0,184,36,40,19,F,0,19,F
Rep. John Stone (D),"Stone, John",John,Stone,D,Strafford,12,Strafford-12,409299,139,139,6,99,34,0,184,34,24,18,F,0,18,F
Rep. Eleana  Colby (D),"Colby, Eleana ",Eleana ,Colby,D,Merrimack,9,Merrimack-09,409218,139,139,3,86,50,0,184,34,36,18,F,-1,18,F
